"name","brand","ean","price","grammage","category","sale","image"
"REWE Feine Welt Perl Couscous 275g","REWE Feine Welt","4337256526425","1.59","275g (1 kg = 5,78 €)","Kochen & Backen","True","https://img.rewe-static.de/8921980/38296485_digital-image.png"
"Dr. Oetker Back- & Speisefarben 4 Stück 80g","Dr. Oetker","4000521026509","3.99","80g (1 kg = 49,88 €)","Kochen & Backen","False","https://img.rewe-static.de/8500035/32476876_digital-image.png"
"REWE Bio Basmatireis 500g","REWE Bio","4337256408059","1.99","500g (1 kg = 3,98 €)","Kochen & Backen","False","https://img.rewe-static.de/0276692/4774470_digital-image.png"
"REWE Beste Wahl Bittermandel Aroma 8g","REWE Beste Wahl","4337256653343","0.79","8g","Kochen & Backen","False","https://img.rewe-static.de/7666932/40437321_digital-image.png"
"Dr. Oetker Milchreis nach klassischer Art 125g","Dr. Oetker","4000521770006","1.49","125g (1 kg = 11,92 €)","Kochen & Backen","False","https://img.rewe-static.de/4463021/2691240_digital-image.png"
"Dr. Oetker Tassenküchlein Schoko Backmischung 55g","Dr. Oetker","4000521013103","0.99","55g (1 kg = 18 €)","Kochen & Backen","False","https://img.rewe-static.de/2156757/22965375_digital-image.png"
"Leimer Paniermehl glutenfrei 200g","Leimer","4000186036240","2.59","200g (1 kg = 12,95 €)","Kochen & Backen","False","https://img.rewe-static.de/2227782/26478462_digital-image.png"
"REWE Beste Wahl Marmorkuchen Backmischung 490g","REWE Beste Wahl","4337256337021","2.29","490g (1 kg = 4,67 €)","Kochen & Backen","False","https://img.rewe-static.de/7823848/35823761_digital-image.png"
"Ruf Zuckerdekor Kunter Bunt 80g","Ruf","4002809025112","1.49","80g (1 kg = 18,63 €)","Kochen & Backen","False","https://img.rewe-static.de/2399019/31505311_digital-image.png"
"Nordzucker Sweet Family Bio Rübenzucker 1kg","Sweet Family","4008671725723","2.49","1000g","Kochen & Backen","False","https://img.rewe-static.de/8096916/29278224_digital-image.png"
"Block House Baked Potatoes mit Sour Cream 650g","Block House","4009286110003","3.99","650g (1 kg = 6,14 €)","Kochen & Backen","False","https://img.rewe-static.de/0149551/20171431_digital-image.png"
"Borchers Erythrit Süßungsmittel 400g","borchers fine food GmbH & Co. KG","4260175671689","5.59","400g (1 kg = 13,98 €)","Kochen & Backen","False","https://img.rewe-static.de/7708586/38811074_digital-image.png"
"REWE Beste Wahl Express Reis Djuvec 250g","REWE Beste Wahl","4337256581790","1.29","250g (1 kg = 5,16 €)","Kochen & Backen","False","https://img.rewe-static.de/7707321/38733401_digital-image.png"
"Ruf Grießbrei 92g","Ruf","4002809021220","0.99","92g (1 kg = 10,76 €)","Kochen & Backen","False","https://img.rewe-static.de/4603052/23180443_digital-image.png"
"Dr. Oetker Tassenkuchen Schokino Backmischung 50g","Dr. Oetker","4000521017163","0.99","50g (1 kg = 19,80 €)","Kochen & Backen","False","https://img.rewe-static.de/2870203/25990540_digital-image.png"
